autonomous-ai	w01	o5
autonomous-ai	w01	o7
autonomous-ai	w01	o8
autonomous-ai	w02	o2
autonomous-ai	w02	o5
autonomous-ai	w02	o7
autonomous-ai	w03	o4
autonomous-ai	w03	o6
autonomous-ai	w03	o7
autonomous-ai	w03	o8
autonomous-ai	w04	o2
autonomous-ai	w04	o4
autonomous-ai	w04	o5
autonomous-ai	w04	o6
autonomous-ai	w04	o7
autonomous-ai	w04	o8
autonomous-ai	w05	o4
autonomous-ai	w05	o5
autonomous-ai	w05	o7
autonomous-ai	w05	o8
autonomous-ai	w06	o2
autonomous-ai	w06	o5
autonomous-ai	w06	o6
autonomous-ai	w06	o7
autonomous-ai	w06	o8
autonomous-ai	w07	o4
autonomous-ai	w07	o5
autonomous-ai	w07	o7
autonomous-ai	w08	o2
autonomous-ai	w08	o5
autonomous-ai	w08	o7
autonomous-ai	w08	o8
autonomous-ai	w09	o2
autonomous-ai	w09	o4
autonomous-ai	w09	o5
autonomous-ai	w09	o6
autonomous-ai	w09	o7
autonomous-ai	w10	o3
autonomous-ai	w10	o4
autonomous-ai	w10	o8
autonomous-ai	w11	o2
autonomous-ai	w11	o4
autonomous-ai	w11	o5
autonomous-ai	w11	o7
autonomous-ai	w12	o3
autonomous-ai	w12	o5
autonomous-ai	w12	o7
autonomous-ai	w12	o8
autonomous-ai	w13	o4
autonomous-ai	w13	o8
autonomous-ai	w14	o8
autonomous-ai	w15	o1
autonomous-ai	w15	o4
autonomous-ai	w15	o6
